`name`,`ispublic`,`description`,`officialreleaseddate`,`durationsecond`,`isplayable`,`thumbnailurl`,`refcode`,`tagsjson`,`artistrefcodes`
`Acid8`,`true`,,`2019-06-14`,`302`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r001/06102d33588cd282a260c5b3ccb62640/06102d33588cd282a260c5b3ccb62640.jpg`,`spt_1o4Tp1Qr2FWdyXqDAct5oh`,`["Acid8"]`,`["spt_2j3AXmye1FJXoGOXr6tufj"]`
`Miễn Chê (feat. BigDaddy & Tez)`,`true`,,`2023-09-10`,`214`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/5a7d2219bb3b55eaacfb642629b6f8e1/5a7d2219bb3b55eaacfb642629b6f8e1.jpg`,`spt_0mhfW8VkkCQBUSDqHJKJnA`,`["Miễn Chê (feat. BigDaddy & Tez)"]`,`["spt_1cPpd989kghzlZqfpP4KwL", "spt_3Tehj7YghQc7zH0I1faGc6", "spt_1yWLf9thhwjqScDt6Az4Z9"]`
`Cứ Chill Thôi`,`true`,,`2020-07-11`,`270`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/5e44c91a4ef294c3b9f29e4c7e58a412/5e44c91a4ef294c3b9f29e4c7e58a412.jpg`,`spt_014DA3BdnmD3kI5pBogH7c`,`["Cứ Chill Thôi"]`,`["spt_4x1fUORHa2EsxrQ6ZzAoQ0", "spt_0gGd4WhPXBSgDX6fdOHcOw", "spt_2xvW7dgL1640K8exTcRMS4"]`
`Nhạc Anh (feat. Wxrdie)`,`true`,,`2020-12-18`,`168`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4468d02b7cd6363a6a1cf6fb48f434bb/4468d02b7cd6363a6a1cf6fb48f434bb.jpg`,`spt_0BOFCIDygXWLtAD08nJDFV`,`["Nhạc Anh (feat. Wxrdie)"]`,`["spt_1Jmkhzve9TuXHUUWGmpANw", "spt_4grjJqg7iwQ8RKHs8d9Snh"]`
`Tôi Thấy Hoa Vàng Trên Cỏ Xanh`,`true`,,`2022-11-10`,`223`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/3b750883625cf7aea49c324fbb39dc40/3b750883625cf7aea49c324fbb39dc40.jpg`,`spt_0C0tak0xsYNjQwBAWzIawu`,`["Tôi Thấy Hoa Vàng Trên Cỏ Xanh"]`,`["spt_1dmaHHd1Xbd85cT1egYb4w", "spt_5k5vCzAmH0dcRda22U9Hut"]`
`Đắm - Lofi version (feat. Ricky Star)`,`true`,,`2022-01-26`,`227`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/577b287190c0e43fac9e7273bfd088f8/577b287190c0e43fac9e7273bfd088f8.jpg`,`spt_0D8uMaA7RSzmuzzwXjxPDz`,`["Đắm - Lofi version (feat. Ricky Star)"]`,`["spt_44ZNcW1ZSGB9oqX1ALnriH", "spt_4jQZaxfgwiUJFQagCyZNV4"]`
`Tuổi Học Trò`,`true`,,`2017-01-17`,`307`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/94df893031ae009d63ae3d2e9e43d361/94df893031ae009d63ae3d2e9e43d361.jpg`,`spt_0ESvZvXdyTXGYvsc6d4OXQ`,`["Tuổi Học Trò"]`,`["spt_7H9jPV9qWyp6V629038aXU"]`
`2 Giờ Chiều`,`true`,,`2020-09-30`,`224`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4878a3c306cf4d4a1fe9a1ccf4609b3c/4878a3c306cf4d4a1fe9a1ccf4609b3c.jpg`,`spt_0fSy1B6IjJm1Njij3YesGH`,`["2 Giờ Chiều"]`,`["spt_40JnMfFlpwqBnWitkL96g4", "spt_5GBXwBVQufRCmwI1bNRIUo", "spt_0rNwFygBct3fAbqO37yleO"]`
`Đêm Hà Nội`,`true`,,`2016-01-01`,`388`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/882b216984a530d0af775766194bca26/882b216984a530d0af775766194bca26.jpg`,`spt_0I2szmVRFS0As5QHVk50EE`,`["Đêm Hà Nội"]`,`["spt_6mBgyEAtTJvNUpliO1Jnba"]`
`Nhẹ (feat. Tọi & Bon Nghiêm)`,`true`,,`2023-06-25`,`206`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/21c2f778f93b3a4dc1c59ab18e522549/21c2f778f93b3a4dc1c59ab18e522549.jpg`,`spt_0hua8EU0OVraNv6CW7VsNm`,`["Nhẹ (feat. Tọi & Bon Nghiêm)"]`,`["spt_1aVkG16ZfTc5XJ9qP7ti7i", "spt_1cPpd989kghzlZqfpP4KwL", "spt_6hnfLIkvDl6pjlAe1YRGXY"]`
