`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`JustaTee`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebde3d3210433dd11c07678420`,,`spt_3rjcQ5VIWCN4q7UFetzdeO`,`["JustaTee"]`
`Hoà Minzy`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc5ca014c7d8a729016b3b5f0`,,`spt_3BWBxpXDxofgji3RKZPIz8`,`["Hoà Minzy"]`
`Trương Quỳnh Anh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ac744a6b0ecea703bee982c4`,,`spt_2Sf0qp9mTN2YJIAbDWCvSL`,`["Trương Quỳnh Anh"]`
`SOOBIN`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb1735d4771ec48d60d2e3dbe5`,,`spt_6CGGvCBHWqQ4HXtn5aLhbh`,`["SOOBIN"]`
`Da LAB`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb82055f0d7880dc8c73edc5a0`,,`spt_6zUWZmyi5MLOEynQ5wCI5f`,`["Da LAB"]`
`Masew`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb3384ebf481862099a35cecaa`,,`spt_3nGqUwkJHiLPDECMVrX1Sq`,`["Masew"]`
`SPACESPEAKERS`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb6dfbadcc2bc0747b31c75d96`,,`spt_23jUmiOyAG9Dzq6Ayp9LUG`,`["SPACESPEAKERS"]`
`Suni Hạ Linh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb9411b12f482f50f4b8895367`,,`spt_4x1fUORHa2EsxrQ6ZzAoQ0`,`["Suni Hạ Linh"]`
`Osad`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebbf16ee82152417ee3afb34aa`,,`spt_6sJBvMCAi9NuNCxI9RDYDW`,`["Osad"]`
`Tiên Cookie`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb43b90fca5f4242d4400f68c1`,,`spt_0UzTVrRT0KTsJDxmlcGfQG`,`["Tiên Cookie"]`
`Hoàng Dũng`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb63bf6330c331d0a1ec425700`,,`spt_6OzE2OdvV2tGAxSBsBuZ74`,`["Hoàng Dũng"]`
`Phương Ly`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb34002425b245333433f3cf32`,,`spt_5Kh0ta0UY4uJ4g2CIdq9V9`,`["Phương Ly"]`
`Binz`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebcbc6b072aec429273fdbd53b`,,`spt_2nSO7JYDbJrYbJmP39qUzj`,`["Binz"]`
`Karik`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb3e1b16e263e182dc85f2b7c3`,,`spt_2Bwp23pD4UVsSkchHDZw4F`,`["Karik"]`
`MIN`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb9fbf4d041c3512612974d7e8`,,`spt_0IdAjS2LRieBR3gzoazdAw`,`["MIN"]`
`Pink Frog`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b273e87eb168c33c88a10a57a4e4`,,`spt_3Z1ArowingijWbVesn0aON`,`["Pink Frog"]`
`2pillz`,`true`,`true`,,,,,,`spt_23fWN9ACchK2ANoJ59JIFI`,`["2pillz"]`
`Chủ Tịch Kim`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb86453182fe194c95f2c2561b`,,`spt_0zn7lYLmKeTdAva9gucVJG`,`["Chủ Tịch Kim"]`
`Minh Đinh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc40bbd734166cc0afcb0c4a1`,,`spt_4NfuHLESitkh66LOZeyzsu`,`["Minh Đinh"]`
`H2O Trop`,`true`,`true`,,,,,,`spt_4aZMie1jV41NnRLylL2utL`,`["H2O Trop"]`
`Haisam`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb73a027903d940d06e5c58d96`,,`spt_5h0cBKxBX54CqPaQU6tJhk`,`["Haisam"]`
`Thành Luke`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb4e23da4bfe6bd99382d2bf30`,,`spt_4s1DRFQAYnDvXmKYFBUcYa`,`["Thành Luke"]`
`Tùng`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebfab2ca1d5bd836f07236688f`,,`spt_1TdtsDVivxc6PpkQdNuXdR`,`["Tùng"]`
`Kiên Trịnh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb4dc628c94be65240f6d79357`,,`spt_5j5vJBQTJARLJspItqVyvE`,`["Kiên Trịnh"]`
`The Cassette`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd2ee619259b94165619ce1ea`,,`spt_1fQjpmcx8iNIy1gKRelTD2`,`["The Cassette"]`
`TRANG`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebe28057e8f67ce8071d58bb35`,,`spt_2knyDFP4xw9wZEWA98JX6b`,`["TRANG"]`
`Thành Đồng`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd2172d72e9012f874a9b5f25`,,`spt_5SrlFeZhl6SkP8gzRcFa0n`,`["Thành Đồng"]`
`Nguyen Loi`,`true`,`true`,,,,,,`spt_0KQnPBeMPtP2Oq9HsKwHMp`,`["Nguyen Loi"]`
`Lê Cát Trọng Lý`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b2735510b8caaaf5e61a89cc2798`,,`spt_7hLz2ZikFy4ZwDZS12Z77n`,`["Lê Cát Trọng Lý"]`
`The Flob`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb634807fde9de6b1e19dee172`,,`spt_0u5ikKYYDO2XGyYjNGQRGf`,`["The Flob"]`
`The Sheep`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebf4f30e19c1e8a15cef0f659f`,,`spt_6IBIzIFj0W756sS7OITld5`,`["The Sheep"]`
`Vũ Thanh Vân`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebdd2fd98b7e94a15a4a15bdb6`,,`spt_5ptgjFDE2abY6Xwo4ytufN`,`["Vũ Thanh Vân"]`
`Những Đứa Trẻ`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb38ca109add87b0ea9c1b5e7e`,,`spt_3UjpgK0RqZLxsJqa4akrNn`,`["Những Đứa Trẻ"]`
`Thoại 004`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eba580a18b4de7dd8a5da8978e`,,`spt_2WpCywRd9h3riGjldGWHIB`,`["Thoại 004"]`
`Tùng`,`true`,`true`,,,`VN`,,,`spt_0gKFZe906MNldE7Pdhb1c2`,`["Tùng"]`
`Gác Mái`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b2735892aed18cec2ea9cb46fdc5`,,`spt_1pKJ2DU2i3uu6a23ngLUby`,`["Gác Mái"]`
`MINH`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb8fde680c4d9b89e5782390ac`,,`spt_0RzxSfLRSQmRJ3fFabRMsT`,`["MINH"]`
`Bệt Band`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebf9a8e3bc0988b424583e3d4d`,,`spt_4uqZAHbX45ygzxhxkRwTwR`,`["Bệt Band"]`
